id,param,val1
134,RegionBorn,Восточнее Урала
134,RegionLife,Восточнее Урала
134,education,среднее
135,age,27
135,gender,ж
135,RegionBorn,Москва и Московская область
135,RegionLife,Москва и Московская область
135,education,высшее
136,age,60
136,gender,ж
136,RegionBorn,Восточнее Урала
136,RegionLife,Западнее Урала
136,education,высшее
137,age,19
137,gender,ж
137,RegionBorn,Санкт-Петербург и Ленинградская область
137,RegionLife,Санкт-Петербург и Ленинградская область
137,education,студент
138,age,20
138,gender,ж
138,RegionBorn,Западнее Урала
138,RegionLife,Западнее Урала
138,education,студент
139,age,33
139,gender,ж
139,RegionBorn,Москва и Московская область
139,RegionLife,Москва и Московская область
139,education,высшее
140,age,33
140,gender,ж
140,RegionBorn,Москва и Московская область
140,RegionLife,Москва и Московская область
140,education,высшее
141,age,19
141,gender,ж
141,RegionBorn,Западнее Урала
141,RegionLife,Западнее Урала
141,education,студент
142,age,18
142,gender,ж
142,RegionBorn,Москва и Московская область
142,RegionLife,Москва и Московская область
142,education,студент
143,age,18
143,gender,ж
143,RegionBorn,Москва и Московская область
143,RegionLife,Москва и Московская область
143,education,студент
144,age,35
144,gender,ж
144,RegionBorn,Восточнее Урала
144,RegionLife,Москва и Московская область
144,education,высшее
145,age,35
145,gender,ж
145,RegionBorn,Восточнее Урала
145,RegionLife,Москва и Московская область
145,education,высшее
146,age,21
146,gender,ж
146,RegionBorn,Москва и Московская область
146,RegionLife,Москва и Московская область
146,education,студент
147,age,22
147,gender,ж
147,RegionBorn,Западнее Урала
147,RegionLife,Западнее Урала
147,education,среднее
148,age,19
148,gender,ж
148,RegionBorn,Западнее Урала
148,RegionLife,Западнее Урала
148,education,среднее специальное
149,age,17
149,gender,ж
149,RegionBorn,Москва и Московская область
149,RegionLife,Москва и Московская область
149,education,среднее
150,age,14
150,gender,ж
150,RegionBorn,Санкт-Петербург и Ленинградская область
150,RegionLife,Санкт-Петербург и Ленинградская область
150,education,среднее
151,age,18
151,gender,м
151,RegionBorn,Москва и Московская область
151,RegionLife,Москва и Московская область
151,education,студент
152,age,21
152,gender,ж
152,RegionBorn,Восточнее Урала
152,RegionLife,Восточнее Урала
152,education,студент
153,age,21
153,gender,м
153,RegionBorn,Москва и Московская область
153,RegionLife,Москва и Московская область
153,education,студент
154,age,19
154,gender,ж
154,RegionBorn,Западнее Урала
154,RegionLife,Западнее Урала
154,education,студент
155,age,22
155,gender,ж
155,RegionBorn,Москва и Московская область
155,RegionLife,Москва и Московская область
155,education,студент
156,age,22
156,gender,ж
156,RegionBorn,Москва и Московская область
156,RegionLife,Москва и Московская область
156,education,высшее
157,age,17
157,gender,ж
157,RegionBorn,Западнее Урала
157,RegionLife,Западнее Урала
157,education,студент
158,age,22
158,gender,ж
158,RegionBorn,Западнее Урала
158,RegionLife,Москва и Московская область
158,education,высшее
159,age,20
159,gender,ж
159,RegionBorn,Западнее Урала
159,RegionLife,Москва и Московская область
159,education,студент
160,age,20
160,gender,ж
160,RegionBorn,Западнее Урала
160,RegionLife,Западнее Урала
160,education,студент
161,age,21
161,gender,ж
161,RegionBorn,Западнее Урала
161,RegionLife,Западнее Урала
161,education,студент
162,age,20
162,gender,м
162,RegionBorn,Западнее Урала
162,RegionLife,Западнее Урала
162,education,студент
163,age,17
163,gender,ж
163,RegionBorn,Москва и Московская область
163,RegionLife,Москва и Московская область
163,education,студент
164,age,18
164,gender,ж
164,RegionBorn,Москва и Московская область
164,RegionLife,Москва и Московская область
164,education,студент
165,age,18
165,gender,ж
165,RegionBorn,Москва и Московская область
165,RegionLife,Москва и Московская область
165,education,студент
166,age,18
166,gender,ж
166,RegionBorn,Москва и Московская область
166,RegionLife,Москва и Московская область
166,education,студент
167,age,18
167,gender,м
167,RegionBorn,Москва и Московская область
167,RegionLife,Москва и Московская область
167,education,студент
168,age,19
168,gender,ж
168,RegionBorn,Москва и Московская область
168,RegionLife,Москва и Московская область
168,education,студент
169,age,20
169,gender,ж
169,RegionBorn,Москва и Московская область
169,RegionLife,Москва и Московская область
169,education,студент
170,age,21
170,gender,ж
170,RegionBorn,Москва и Московская область
170,RegionLife,Москва и Московская область
170,education,студент
171,age,27
171,gender,ж
171,RegionBorn,Москва и Московская область
171,RegionLife,Москва и Московская область
171,education,высшее
172,age,18
172,gender,ж
172,RegionBorn,Восточнее Урала
172,RegionLife,Восточнее Урала
172,education,студент
173,age,18
173,gender,м
173,RegionBorn,Восточнее Урала
173,RegionLife,Восточнее Урала
173,education,студент
174,age,19
174,gender,ж
174,RegionBorn,Западнее Урала
174,RegionLife,Западнее Урала
174,education,студент
175,age,21
175,gender,ж
175,RegionBorn,Западнее Урала
175,RegionLife,Западнее Урала
175,education,студент
176,age,22
176,gender,ж
176,RegionBorn,Восточнее Урала
176,RegionLife,Западнее Урала
176,education,высшее
177,age,18
177,gender,ж
177,RegionBorn,Москва и Московская область
177,RegionLife,Москва и Московская область
177,education,студент
178,age,33
178,gender,ж
178,RegionBorn,Восточнее Урала
178,RegionLife,Западнее Урала
178,education,высшее
179,age,17
179,gender,ж
179,RegionBorn,Западнее Урала
179,RegionLife,Западнее Урала
179,education,среднее
180,age,17
180,gender,ж
180,RegionBorn,Западнее Урала
180,RegionLife,Западнее Урала
180,education,студент
181,age,36
181,gender,ж
181,RegionBorn,Восточнее Урала
181,RegionLife,Восточнее Урала
181,education,высшее
182,age,21
182,gender,ж
182,RegionBorn,Западнее Урала
182,RegionLife,Западнее Урала
182,education,студент
183,age,19
183,gender,ж
183,RegionBorn,Западнее Урала
183,RegionLife,Западнее Урала
183,education,студент
184,age,19
184,gender,ж
184,RegionBorn,Западнее Урала
184,RegionLife,Западнее Урала
184,education,студент
185,age,20
185,gender,ж
